,Education,Never went to school or completed primary school,Completed primary education,Completed Junior Certificate,Completed Leaving Certficicate,Completed Third Level Education,Not known,
2012,Leitrim,~,8,15,11,14,44,93
2012,Laois,~,46,105,64,12,16,247
2012,Meath,~,46,102,68,24,54,298
2012,Monaghan,~,17,28,19,16,90,174
2012,Mayo,~,23,46,52,24,34,181
2012,Offaly,18,50,92,78,12,12,262
2012,Roscommon,~,16,56,19,10,13,115
2012,Sligo,~,41,60,67,27,99,295
2012,Tipperary,15,146,282,211,39,117,810
2012,Waterford,13,138,354,243,68,152,968
2012,Westmeath,13,73,122,98,20,77,403
2012,Wicklow,7,58,86,56,30,30,267
2012,Wexford,11,141,227,166,53,117,715
2012,Outside Ireland,~,~,23,28,22,~,80
2012,Address unknown Ireland,8,20,31,13,0,10,82
2012,Totals,447,3146,5273,3641,1153,2954,16614
2013,Cork,39,278,772,588,141,484,2302
2013,Clare,5,33,68,53,14,69,242
2013,Cavan,17,20,32,24,9,46,148
2013,Carlow,~,60,126,80,7,49,324
2013,Dublin,208,1163,1837,975,276,790,5249
2013,Donegal,5,95,160,133,67,82,542
2013,Galway,19,115,191,133,52,79,589
2013,Kilkenny,~,49,117,80,22,43,314
2013,Kildare,11,67,212,127,57,87,561
2013,Kerry,11,122,206,210,46,83,678
2013,Limerick,18,120,171,105,32,144,590
2013,Longford,~,36,28,40,15,50,172
2013,Louth,14,74,111,54,21,83,357
2013,Leitrim,0,5,9,14,11,55,94
2013,Laois,9,27,102,72,13,29,252
2013,Meath,9,41,82,74,22,38,266
2013,Monaghan,~,5,17,14,10,38,85
2013,Mayo,~,9,43,59,20,42,176
2013,Offaly,27,45,68,80,13,20,253
2013,Roscommon,~,14,42,26,~,11,100
2013,Sligo,~,35,52,62,23,85,260
2013,Tipperary,7,121,329,181,43,82,763
2013,Waterford,18,143,329,264,51,121,926
2013,Westmeath,6,52,100,67,25,101,351
2013,Wicklow,9,56,115,95,24,61,360
2013,Wexford,9,133,252,196,55,90,735
2013,Outside Ireland,0,~,10,19,17,6,54
2013,Address unknown Ireland,~,26,22,10,~,17,82
2013,Totals,462,2946,5603,3835,1094,2885,16825
2014,Cork,33,256,750,614,190,503,2346
2014,Clare,5,43,74,78,24,80,304
2014,Cavan,5,15,34,30,~,29,117
2014,Carlow,6,53,107,71,5,19,261
2014,Dublin,181,1246,1948,1054,308,1081,5818
2014,Donegal,7,86,147,120,65,78,503
2014,Galway,17,97,134,122,57,52,479
2014,Kilkenny,~,49,132,99,20,33,336
2014,Kildare,~,59,149,96,34,67,409
2014,Kerry,7,105,180,217,51,100,660
2014,Limerick,23,124,181,178,39,261,806
2014,Longford,8,48,43,56,10,65,230
2014,Louth,8,59,104,73,30,105,379
2014,Leitrim,0,9,10,13,~,59,93
2014,Laois,12,52,101,76,22,32,295
2014,Meath,8,31,99,83,13,60,294
2014,Monaghan,0,15,20,8,7,28,78
2014,Mayo,7,12,44,61,28,30,182
2014,Offaly,19,46,78,116,15,83,357
